"TITULO_FULL","TITULO_LIMPIO","ENLACE","FECHA_PUBLICACION_FULL","FECHA","HORA","VISUALIZACIONES","ME_GUSTA","PORCENTAJE_LIKES","COMENTARIOS","COMPARTIDOS","FAVORITOS","PORCENTAJE_FAVORITOS"
"Nuri - ¿Que hace un Científico de Datos en el trabajo?  #dataabalyst #cienciadedatos #machinelearning #python #ia #inteligenciaartificial ","¿que hace un científico de datos en el trabajo?","https://www.tiktok.com/@nuri.datascience/video/7525524930323090696","2025/07/10 18:40:18","2025-07-10","18:40:18",4918,315,6.41,13,33,99,2.01
"Nuri - Es buena idea aprender Excel, si quieres ser científico de datos? #cienciadedatos #machinelearning #python #inteligenciaartificial ","es buena idea aprender excel, si quieres ser científico de datos?","https://www.tiktok.com/@nuri.datascience/video/7524884284897873160","2025/07/09 01:14:18","2025-07-09","01:14:18",4877,320,6.56,16,5,88,1.8
"Nuri DataGym - libros machine learning y ciencia de datos parte 4 Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning #ia #inteligenciaartificial #estadistica","libros machine learning y ciencia de datos parte 4 sígueme para ver videos sobre análisis de datos y machine learning.","https://www.tiktok.com/@nuri.datascience/video/7521820673090620679","2025/06/30 19:05:53","2025-06-30","19:05:53",4412,303,6.87,10,15,139,3.15
"Nuri DataGym - libros machine learning y ciencia de datos parte 5 Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning #ia #inteligenciaartificial #estadistica","libros machine learning y ciencia de datos parte 5 sígueme para ver videos sobre análisis de datos y machine learning.","https://www.tiktok.com/@nuri.datascience/video/7521823068180794631","2025/06/30 19:15:12","2025-06-30","19:15:12",4058,296,7.29,3,18,156,3.84
"Respuesta a @nottsune ","respuesta a","https://www.tiktok.com/@nuri.datascience/video/7522172137109605639","2025/07/01 17:49:45","2025-07-01","17:49:45",3949,252,6.38,5,25,130,3.29
"Nuri DataGym - https://www.linkedin.com/in/marioruizlinkedin Sígueme para ver videos sobre análisis de datos y machine learning. #dataanalytics #machinelearning  #ia #inteligenciaartificial  #estadistica ","","https://www.tiktok.com/@nuri.datascience/video/7521964417408388359","2025/07/01 04:23:41","2025-07-01","04:23:41",3681,154,4.18,14,9,70,1.9
"hablemos de seaborn en ciencia de datos #nuri #cienciadedatos #machinelearning #inteligenciaartificial ","hablemos de seaborn en ciencia de datos","https://www.tiktok.com/@nuri.datascience/video/7528105640909114631","2025/07/17 17:34:46","2025-07-17","17:34:46",3654,277,7.58,8,10,85,2.33
"Nuri - Maestría o Portafolio en ciencia de datos.","maestría o portafolio en ciencia de datos.","https://www.tiktok.com/@nuri.datascience/video/7524815379756059912","2025/07/08 20:46:55","2025-07-08","20:46:55",3524,223,6.33,15,10,78,2.21
"Nuri – ¿Cuándo utilizar Pandas como Científico de Datos... y Cuándo No? #Rstats #cienciadedatos #dataanalyst #pythonvsr #visualizaciondedatos #estadistica #machinelearning #inteligenciaartificial #pandas #analisisdedatos #nuri ","¿cuándo utilizar pandas como científico de datos... y cuándo no?","https://www.tiktok.com/@nuri.datascience/video/7527358971791822088","2025/07/15 17:17:19","2025-07-15","17:17:19",3301,285,8.63,10,3,102,3.09
"consejo 1 de habilidades blandas en ciencia de datos, que nadie te dice #nuri #cienciadedatos #dataanalyst #inteligenciaartificial ","consejo 1 de habilidades blandas en ciencia de datos, que nadie te dice","https://www.tiktok.com/@nuri.datascience/video/7528190717764570375","2025/07/17 23:05:00","2025-07-17","23:05:00",3031,265,8.74,4,11,86,2.84
"Nuri - maestrias inteligencia artificial ","maestrias inteligencia artificial","https://www.tiktok.com/@nuri.datascience/video/7524508562794482951","2025/07/08 00:56:19","2025-07-08","00:56:19",2541,116,4.57,19,9,54,2.13
"¿Debes aprender Power bi si quieres ser científico de datos? #datascientist #dataanalyst #powerbi #cienciadedatos ","¿debes aprender power bi si quieres ser científico de datos?","https://www.tiktok.com/@nuri.datascience/video/7529581627236699410","2025/07/21 17:02:23","2025-07-21","17:02:23",2381,160,6.72,7,6,39,1.64
"Nuri - donde estudiar ciencia de datos en México #cienciadedatos #machinelearning  #inteligenciaartificial ","donde estudiar ciencia de datos en méxico","https://www.tiktok.com/@nuri.datascience/video/7524464576872680711","2025/07/07 22:05:42","2025-07-07","22:05:42",2379,91,3.83,16,3,33,1.39
"Nuri - ¿Cuando utilizar SQL como Científico de Datos... y Cuando No?  #dataabalyst #cienciadedatos #machinelearning #python #ia #inteligenciaartificial ","¿cuando utilizar sql como científico de datos... y cuando no?","https://www.tiktok.com/@nuri.datascience/video/7526254749876899080","2025/07/12 17:52:23","2025-07-12","17:52:23",2325,162,6.97,4,6,54,2.32
"Respuesta a @edmen2023 ","respuesta a","https://www.tiktok.com/@nuri.datascience/video/7523264822671084807","2025/07/04 16:29:54","2025-07-04","16:29:54",2311,77,3.33,6,3,17,0.74
"hablemos de Matplotlib en ciencia de datos #cienciadedatos #dataanalyst #machinelearning ","hablemos de matplotlib en ciencia de datos","https://www.tiktok.com/@nuri.datascience/video/7527733904162295047","2025/07/16 17:32:15","2025-07-16","17:32:15",2100,137,6.52,6,8,38,1.81
